,Unnamed: 0,ID отзыва,Дата,Номенклатура,Количество звезд,Бренд,Текст отзыва,Имя,Регион,Цвет,Размер,Полезность (количество минусов),Полезность (количество плюсов),Полезность,cleaned_tweets
3389,3389,8644,10/10/2020,Артикул 3482,1,Бренд 21,Не первый раз же оставляют такой отзыв. За дураков что ли держите народ? Заказываем ХL  приходит не он. Очень жаль. Теряете клиентов,Светлана,RU,желтый,0,0,1,1,первый оставлять отзыв дурак держать народ заказывать хl приходить очень жаль терять клиент
3390,3390,8645,10/10/2020,Артикул 3549,5,Бренд 10,"Этот цвет не желтый, как на картинке, а вот прямо чисто горчичный. Но все равно забрала. Оооочень мяконькая! Оооочень душевненькая! Хочется укутаться в такой шарфик или в варежечки такие)",Анна,RU,персиковый,0,1,1,0,цвет желтый картинка прямо чисто горчичный равный забирать оооочень мяконький оооочень душевненький хотеться укутываться шарфик варежечка
3391,3391,8647,10/10/2020,Артикул 385,5,Бренд 22,Отличный станок,Глеб,RU,,0,0,1,1,отличный станок
3392,3392,8648,10/10/2020,Артикул 2418,5,Бренд 10,Пряжа замечательная! Хватило 6 моточков на свитер детский (в 2 нити) и осталось на варежки.,Татьяна,RU,терракотовый,0,0,1,1,пряжа замечательный хватить  моточек свитер детский  нить оставаться варежка
3393,3393,8649,10/10/2020,Артикул 3368,4,Бренд 10,"Цвет отличается, больше к серому",Ирина,RU,"бледно-голубой, голубой",0,0,1,1,цвет отличаться большой серый
3394,3394,8653,10/10/2020,Артикул 1805,5,Бренд 35,"Набор понравился, пока не вышивала. Все необходимое в комплекте имеется. Судя по предыдущим отзывам и фотографиям, должно получится красиво.",Людмила,RU,белый,0,1,0,-1,набор понравиться пока вышивать весь необходимый комплект иметься судя предыдущий отзыв фотография должно получаться красиво
3395,3395,8655,10/10/2020,Артикул 3407,5,Бренд 24,"Все здорово, качество хорошее",Ольга,RU,"голубой, светло-голубой",0,0,1,1,здорово качество хороший
3396,3396,8658,10/10/2020,Артикул 3690,5,Бренд 18,Спасибо большое. Все дошло в отличном состоянии.,Людмила,RU,"бежевый, серо-бежевый",0,0,0,0,спасибо большой доходить отличный состояние
3397,3397,8663,10/10/2020,Артикул 2383,5,Бренд 2,"Шикарный набор,все в комплекте,бисеринки ровные ,ткань отличного качества,есть инструкция.Мне очень понравился набор.Рисунок четко прорисован,яркий.Хочу теперь другие картины из этой серии.Я осталась довольна покупкой.Как картина будет готова дополню отзыв.В готовом виде она смотрется будет конечно очень и очень эффектно",Елена,RU,белый,0,0,0,0,шикарный набор комплект бисеринка ровный ткань отличный качество инструкция очень понравиться набор рисунок четко прорисовывать яркий хотеть картина серия оставаться довольный покупка картина готовый дополнять отзыв готовый вид смотираться очень очень эффектно
3398,3398,8667,9/10/2020,Артикул 3100,5,Бренд 18,"Каждый кто занимается рукоделием знает, если появилась в голове идея, что то сделать - срочно нужен материал для рукоделия. Хочется сказать огромное спасибо   Wildberries за скорость!! Заказ пришёл очень быстро. Даже раньше, чем обещали доставить. Цвет ниток изумительный!! Можно приступать к творчеству))))",Ольга,RU,малиновый,0,0,1,1,"каждый заниматься рукоделие знать появляться голова идея сделать срочно нужный материал рукоделие хотеться сказать огромный спасибо wildberries скорость !! заказ приходить очень быстро рано обещать доставлять цвет нитка изумительный !! приступать творчество ))))
"
3399,3399,8668,9/10/2020,Артикул 2920,5,Бренд 10,Пряжа отличная. Очень приятная на ощупь.,Вера,KZ,сливовый,0,0,1,1,пряжа отличный очень приятный ощупь
3400,3400,8670,9/10/2020,Артикул 2051,5,Бренд 6,"Очень красивая, очень качественный биссер",Татьяна,RU,голубой,0,0,0,0,очень красивый очень качественный биссер
3401,3401,8671,9/10/2020,Артикул 2915,5,Бренд 10,"Прекрасная пряжа. Вязала в две нитки с кидмохером этой же марки. Тёплый, легкий, мягкий.",Светлана,RU,молочный,0,0,1,1,прекрасный пряжа вязать нитка кидмохер марка теплый легкий мягкий
3402,3402,8673,9/10/2020,Артикул 2531,5,Бренд 22,Прекрасный станок.  Давно такой хотела. Размеры отличные!,Анастасия,RU,,0,0,1,1,прекрасный станок давно хотеть размер отличный
3403,3403,8674,9/10/2020,Артикул 2036,2,Бренд 21,"Прислали 7шт, вместо  8! упаковка была вскрыта при перевозке",Анна,RU,"коричневый, темно-бежевый",0,0,0,0,присылать шт вместо  упаковка вскрывать перевозка
3404,3404,8675,9/10/2020,Артикул 2841,4,Бренд 10,Цвет скорее бордовый,Людмила,RU,красный,0,0,1,1,цвет скоро бордовый
3405,3405,8676,9/10/2020,Артикул 2823,5,Бренд 10,Еще такую хочу...пожалуйста..но цвет не светло бирюзовый а темный..,наталия,RU,светло-бирюзовый,0,0,0,0,хотеть  пожалуйста  цвет светло бирюзовый темный 
3406,3406,8677,9/10/2020,Артикул 347,5,Бренд 56,"Смотрю по фото в отзывах, что приходят разные — разного цвета мешочки, с гравировкой и без... Мне пришел в черном мешочке, без гравировки. Минус — цена объективно высокая, конечно. Но плюс в том, что его невозможно разбить, уронив, поэтому в итоге выйдет дешевле, чем штуки три разбитых каменных. У меня дома дети — без вариантов рано или поздно разобьют. Отсюда же плюс — удобно брать с собой в дорогу и носить в косметичке, легко почистить. Сильно отражает, я иногда использую как зеркальце для нехитрых операций типа нанести бальзам на губы. Со временем понемногу царапается. Выполнен качественно, правда на одном ребре есть маленький стык отлива, но он не мешает. Пользуюсь, в целом довольна.",Анастасия,RU,серебристый,0,1,1,1,смотреть фото отзыв приходить разный  —  разный цвет мешочек гравировка  приходить черный мешочек гравировка минус  —  цена объективно высокий плюс невозможно разбивать уронить поэтому итог выходить дешевый штука разбитый каменный дома ребенок  —  вариант рано поздно разбивать отсюда плюс  —  удобно брать дорога носить косметичка легко почистить сильно отражать использовать зеркальце нехитрый операция тип наносить бальзам губа время понемногу царапаться выполнять качественно правда ребро маленький стык отлив мешать пользоваться целое довольный
3407,3407,8678,9/10/2020,Артикул 2020,5,Бренд 17,"Набор отличный. Ткань плотная. льняная, бисер весь качественный и хорошо подобран по цвету и размеру. Давно мне не попадалось приобрести такой хороший набор, в котором меня всё удовлетворило. Спасибо за такой товар.",Галина,RU,белый,0,0,1,1,набор отличный ткань плотный льняной бисер весь качественный подбирать цвет размер давно попадаться приобретать хороший набор который удовлетворять спасибо товар
3408,3408,8679,9/10/2020,Артикул 2371,4,Бренд 6,"Качество полотна хорошее, инструкция маленькая не очень понятная, хотелось бы поставить по цветам бисер. Расстроило то что нет лески (минус звезда), есть одна иголка.  Хотела начать вышивать, придётся идти покупать леску.",Елизавета,RU,коричневый,0,0,0,0,"качество полотно хороший инструкция маленькая очень понятный хотеться поставлять цвет бисер расстраивать леска минус звезда ),  иголка хотеть начинать вышивать приходиться идти покупать леска"
