,Unnamed: 0,ID отзыва,Дата,Номенклатура,Количество звезд,Бренд,Текст отзыва,Имя,Регион,Цвет,Размер,Полезность (количество минусов),Полезность (количество плюсов),Полезность,cleaned_tweets
0,0,4,6/11/2021,Артикул 4,5,Бренд 4,"Полный комплект, ниток достаточно, много осталось, вышивается легко, рекомендую к покупке. Добавлю фото других наборов этой серии.",Ирина,RU,,0,0,0,0,полный комплект нитка достаточно оставаться вышиваться легко рекомендовать покупка добавлять фото набор серия
1,1,7,6/11/2021,Артикул 7,5,Бренд 6,"Очень понравился набор! Бисер качественный, остается много! Рекомендую!",Наталья,RU,белый,0,0,0,0,очень понравиться набор бисер качественный оставаться рекомендовать
2,2,8,6/11/2021,Артикул 8,5,Бренд 6,Очень красиво получилось,Наталья,RU,синий,0,0,0,0,очень красиво получаться
3,3,21,5/11/2021,Артикул 21,5,Бренд 2,"Набор полный, целый, восхитительный! Открываешь коробочку, а в ней солнце, тепло, блеск, игра бисера! Превосходный набор. Любимая икона.",Маргарита,RU,белый,0,0,0,0,набор полный целый восхитительный открывать коробочка солнце тепло блеск игра бисер превосходный набор любимый икона
4,4,23,5/11/2021,Артикул 23,5,Бренд 14,"Заказывала серый сероголубой, пришел  синий васильковый, даже не распаковала., отказ, жаль потраченное время.",Ирина,RU,"серо-голубой, голубой",0,0,0,0,заказывать серый сероголубой приходить синий васильковый распаковывать отказ жаль потратить время
5,5,26,5/11/2021,Артикул 26,1,Бренд 10,"Нитки пришли в количестве 3 шт, отказ. Считаю данного продавца не добросовестным. Ранее были отзывы, и много о том, что от даного продавца приходят пряжа не в полном объеме. Продавец до сих пор не принял никаих мер. Он теряет время покупателей. Не рекомендую его",Элла,RU,светло-серый,0,1,1,0,нитка приходить количество  шт отказ считать данный продавец добросовестный ранее отзыв даное продавец приходить пряжа полный объем продавец сей пора принимать никаиха мера терять время покупатель рекомендовать
6,6,28,5/11/2021,Артикул 28,3,Бренд 10,"Данный набор у меня больше половины года, каждый день не вяжу, но одна спица отклеилась от крепления(((неприятно.. в принципе вообще место соединения некачественное, края резьбы ровно не состыковываются.. и иногда раскручиваются во время вязания. Приходится периодически подкручивать.  Набор хороший для вязания, размеры спиц ходовые, но видимо некачественный.",Наталья,RU,коричневый,0,0,0,0,данный набор половина год каждый день вязать спица отклеиваться крепление ((( неприятно  принцип вообще место соединение некачественный край резьба ровно состыковываться  раскручиваться время вязание приходиться периодически подкручивать набор хороший вязание размер спица ходовой видимо некачественный
7,7,31,4/11/2021,Артикул 31,5,Бренд 10,Очень приятная пряжа. Спасибо!,Елена,RU,"кремовый, молочный, античный белый",0,0,1,1,очень приятный пряжа спасибо
8,8,33,4/11/2021,Артикул 33,5,Бренд 8,Потрясающая вышивка! Я в восторге от неё,Оксана,RU,белый,0,0,0,0,потрясающий вышивка восторг
9,9,38,4/11/2021,Артикул 38,2,Бренд 6,"Пришло совершенно не то,заказала второй раз,жду",Ирина,RU,белый,0,0,0,0,приходить совершенно заказывать второй ждать
10,10,40,4/11/2021,Артикул 40,5,Бренд 17,Вышитая икона прекрасна! Недостаток в наборе- тонкие некаленые иголки. Гнутся и ломаются,Людмила,RU,белый,0,0,0,0,вышивать икона прекрасный недостаток набор тонкий некаленый иголка гнуться ломаться
11,11,41,4/11/2021,Артикул 31,5,Бренд 10,"Пряжа шикарная, очень мягкая, абсолютно не колется. Расход пряжи маленький, 6 мотков хватило на пуловер 46-го размера. После стирки не растягивается. Изделие легкое, тёплое и пушистое!",Ольга,RU,"кремовый, молочный, античный белый",0,0,1,1,пряжа шикарный очень мягкий абсолютно колоться расход пряжа маленький  моток хватить пуловер  го размер стирка растягиваться изделие легкий теплый пушистый
12,12,45,4/11/2021,Артикул 44,5,Бренд 22,"Станок для вышивания очень хороший! Довольна покупкой! Качество древесины, простая понятная схема сборки, надёжная упаковка - всё замечательно! Большое спасибо производителю за  качественное изделие.",Марина,RU,,0,0,1,1,станок вышивание очень хороший довольный покупка качество древесина простой понятный схема сборка надежный упаковка замечательно большой спасибо производитель качественный изделие
13,13,49,4/11/2021,Артикул 48,5,Бренд 22,Удобный станок.,Наталья,RU,,0,0,0,0,удобный станок
14,14,50,4/11/2021,Артикул 49,5,Бренд 24,Всё пришло в отличном состоянии,Антонина,RU,,0,0,0,0,приходить отличный состояние
15,15,54,3/11/2021,Артикул 53,5,Бренд 24,Пришли всем 5 шт. Цвет красивый 212. И цена 290 руб.,Валентина,RU,,0,0,0,0,приходить весь  шт цвет красивый  цена  руб
16,16,57,3/11/2021,Артикул 49,5,Бренд 24,"Пряжа понравилась, цвет чайной розы. Упаковки пришли все по 5 шт. Выкупила всё, что заказала",Валентина,RU,,0,0,0,0,пряжа понравиться цвет чайный роза упаковка приходить весь  шт выкупать заказывать
17,17,66,3/11/2021,Артикул 64,5,Бренд 25,Супер! Доставка быстрая! Супруга довольна.,Максим,KZ,,0,0,0,0,супер доставка быстрый супруга довольный
18,18,70,3/11/2021,Артикул 68,5,Бренд 10,спасибо вам большое все отлично 👍,Ani,AM,коричневый,0,0,0,0,спасибо большой отлично 👍
19,19,76,3/11/2021,Артикул 74,1,Бренд 24,"Это ужас ужасный!!!!! Заказала второй раз пряжу от этого производителя, так ждала, а в итоге... Пришла не пряжа в 5 мотках, а хрень полная!!!! Один пакет в который запихана непонятно как вся пряжа одним большим куском!!! Ни каких надписей опознавательных, вся грязная!!! Такое ощущение что просто остатки с пола собрали и отправили!!! Я была лучшего мнения, когда получила первый заказ, он был аккуратно рассфасован, по 5 мотков, с этикетками. Я в шоке конечно.
Процент выкупа снимать даже не думайте, я охренела от увиденного!!!
Звёзды не одной ставить не хочу, но без этого не пропускает отзыв, поэтому 1 и то, чтобы пропустили!!",Наталья,RU,,0,0,0,0,это ужас ужасный !!!!! заказывать второй пряжа производитель ждать итог  приходить пряжа  моток хрень полный !!!! пакет который запихать непонятно весь пряжа большой кусок !!! надпись опознавательный весь грязный !!! ощущение просто остаток пол собирать отправлять !!! хороший мнение получать первый заказ аккуратно рассфасовывать  моток этикетка шок процент выкуп снимать думать охренеть увидеть !!! звезда ставить хотеть это пропускать отзыв поэтому  пропускать !!
20,20,81,3/11/2021,Артикул 79,4,Бренд 2,"Вышивка не плохая, бисер не самого высокого качества, но смотрится не плохо. Снимаю одну звезду за то что не хватило несколько бисера когда вышивала одежду пришлось заменить другим цветом",Екатерина,RU,белый,0,0,0,0,вышивка плохой бисер самый высокий качество смотреться плохо снимать звезда хватить несколько бисер вышивать одежда приходиться заменять цвет
21,21,83,2/11/2021,Артикул 48,5,Бренд 22,"Очень качественное изделие, аккуратно исполнены все детали, прочное и устойчивое",Александр,RU,,0,0,0,0,очень качественный изделие аккуратно исполнять деталь прочный устойчивый
22,22,87,2/11/2021,Артикул 84,4,Бренд 10,"Звезду снимаю за то что немного цвет темнее,чем на фото. Пряжа пришла быстро!",Ольга,RU,светло-бежевый,0,1,0,-1,звезда снимать немного цвет темно фото пряжа приходить быстро
23,23,92,2/11/2021,Артикул 89,5,Бренд 33,Товар пришел хорошего качества и коробка целая. Все подошло.,Александра,RU,,0,0,0,0,товар приходить хороший качество коробка целый подходить
24,24,94,2/11/2021,Артикул 91,5,Бренд 25,"Классная соль! Заказываю не первый раз, всегда приходит хорошо упакованная. В воде быстро растворяется, чистая без всякого мусора. Нереально расслабляет и хорошо сплю после нее. Еще после тренировки помогает снять боль в мышцах, сразу такая легкость. Кожа после скраба с солью мягкая и нежная, даже кремом не пользуюсь. Рекомендую!",Алёна,RU,,0,0,0,0,классный соль заказывать первый приходить упаковывать вода быстро растворяться чистый всякий мусор нереально расслаблять спать тренировка помогать снимать боль мышца сразу легкость кожа скраб соль мягкий нежный крем пользоваться рекомендовать
25,25,95,2/11/2021,Артикул 64,5,Бренд 25,"Увидела этот продукт в инстаграме магазина почитала отзывы и решила заказать. Все пришло хорошо запакованное целое, дозатор работает. После болезни волосы сыпались, а тут со второго раза уже заметно меньше выпадают! И еще корни стали не такие жирные. Щипет конечно,  но терпимо. Большой плюс,  что легко смывается. Как закончится, точно закажу еще, рекомендую😉",Алёна,RU,,0,0,1,1,увидеть продукт инстаграм магазин почитать отзыв решать заказывать весь приходить запаковывать целое дозатор работать болезнь волос сыпаться второй заметно маленький выпадать корень становиться жирный щипать терпимо большой плюс легко смываться заканчиваться точно заказывать рекомендовать 😉
26,26,96,2/11/2021,Артикул 92,3,Бренд 10,"Пряжа хорошая. Но после ручной стирки связанное изделие очень сильно растягивается. Чтобы осталось нужного размера нужно или компановать до нужного размера, или добавлять какую-то дополнительную нить для фиксации.",Наталия,RU,,0,0,1,1,пряжа хороший ручной стирка связанный изделие очень сильно растягиваться оставаться нужный размер нужно компановать нужный размер добавлять какой-то дополнительный нить фиксация
27,27,101,1/11/2021,Артикул 97,5,Бренд 21,Пряжа понравилась- мягкая и нежная! Цвет очень красивый! Связала шапку в 2 нити на спицах №5. Буду заказывать пряжу в других цветах.,Елена,RU,"сиреневый, лавандово-розовый",0,0,0,0,пряжа понравиться мягкий нежный цвет очень красивый связывать шапка  нить спица №  заказывать пряжа цветок
28,28,113,1/11/2021,Артикул 109,2,Бренд 10,Цвет грязный не соответствует картинке сплошное разчарование,Людмила,RU,"туман, серо-голубой, серо-голубой светлый",0,1,0,-1,цвет грязный соответствовать картинка сплошной разчарование
29,29,119,31/10/2021,Артикул 115,5,Бренд 24,"Очень хорошая пряжа, лысых петель не было.",Валентина,RU,,0,0,1,1,очень хороший пряжа лысый петля
30,30,124,31/10/2021,Артикул 120,5,Бренд 10,"Пряжа очень понравилась и в работе и детям, мягкая, теплая, не колется, жалко, нет палитры",Анна,RU,синий,0,0,1,1,пряжа очень понравиться работа ребенок мягкий теплый колоться жалко палитра
31,31,125,31/10/2021,Артикул 121,1,Бренд 22,"очень расстроена, ножки-основания не подходят друг другу по толщине, как писала выше девушка, тот же брак.
придется вернуть, ну где же гарантии, что придет без такого брака?
Пожалуйста, я перезакажу, но отправьте мне без брака детали.",Надежда,RU,,0,0,0,0,очень расстраивать ножка основание подходить друг друг толщина писать выше девушка брак приходиться вернуть гарантия прийти брак пожалуйста перезаказывать отправлять брак деталь
32,32,127,31/10/2021,Артикул 123,5,Бренд 3,Отличная канва!!!,Андрей,RU,слоновая кость,0,0,0,0,отличный канва !!!
33,33,135,31/10/2021,Артикул 49,5,Бренд 24,"Пряжа хорошая,цвет ярче чем на фото.красивый розовый",Мария,RU,,0,0,0,0,пряжа хороший цвет ярко фото красивый розовый
34,34,136,31/10/2021,Артикул 131,5,Бренд 24,Пряжа очень понравилась. Всем рекомендую,Галина,RU,,0,0,0,0,пряжа очень понравиться рекомендовать
35,35,141,31/10/2021,Артикул 136,5,Бренд 22,"Отличный станок, дерево хорошо обработано, канву держит, но лучше использовать дополнительно боковую натяжку. Во время работы не шатается, устойчивый, поддерживать не надо, обе руки свободны",Анастасия,RU,,0,0,0,0,отличный станок дерево обрабатывать канва держать использовать дополнительно боковой натяжка время работа шататься устойчивый поддерживать оба рука свободный
36,36,146,30/10/2021,Артикул 141,5,Бренд 10,"Пряжа очень мягкая, цвет хороший, спасибо",Ольга,RU,,0,0,0,0,пряжа очень мягкий цвет хороший спасибо
37,37,148,30/10/2021,Артикул 53,5,Бренд 24,Отличные ниточки. А цена вообще сказочная. Спасибо.,Руслан,RU,,0,0,0,0,отличный ниточка цена вообще сказочный спасибо
38,38,149,30/10/2021,Артикул 143,5,Бренд 23,"Пряжа хорошая, мягкая, шапка и шарф очень хорошо получились",Диана,RU,белый,0,0,1,1,пряжа хороший мягкий шапка шарф очень получаться
39,39,154,30/10/2021,Артикул 141,5,Бренд 10,"Очень приятная на ощупь пряжа, брала для детских шапочек, думаю колоться не должна. Цвет совпадает, пришла хорошо упакована.",Светлана,RU,,0,0,0,0,очень приятный ощупь пряжа брать детский шапочка думать колоться должный цвет совпадать приходить упаковывать
40,40,158,30/10/2021,Артикул 26,5,Бренд 10,Всё соответствует,Ольга,RU,светло-серый,0,0,1,1,соответствовать
41,41,160,30/10/2021,Артикул 152,5,Бренд 24,"Хорошая пряжа. Вязала впервые, просто и быстро. Хватило на плед новорожденному. На фото цвет получился насыщеннее чем в жизни",Ирина,RU,,0,0,0,0,хороший пряжа вязать впервые просто быстро хватить плед новорожденный фото цвет получаться насыщенный жизнь
42,42,161,30/10/2021,Артикул 141,3,Бренд 10,"Номер 47- пряжа хорошая, но сами мотки из разных партий пряжи.",светлана,RU,,0,1,0,-1,номер  пряжа хороший моток разный партия пряжа
43,43,168,29/10/2021,Артикул 159,5,Бренд 35,Все супер!,Анастасия,RU,белый,0,0,0,0,супер
44,44,169,29/10/2021,Артикул 53,5,Бренд 24,"нитки мягкие, цвет красивый",Валерия,RU,,0,0,0,0,нитка мягкий цвет красивый
45,45,170,29/10/2021,Артикул 160,5,Бренд 4,"Набор хороший, удобно, что ключ уже прямо на нитках. Единственное, меня взбесила разметка, потому что она на миллиметр от дырок съехала. Психанула, решила отстирать канву и расчертить все самой - а она не смывается, несмотря на то, что есть инструкция по стирке. Ну ладно. Все равно потом отстирывать ванишем+порошок. Там все что угодно отойдёт)",Вероника,RU,,0,0,1,1,набор хороший удобно ключ прямо нитка единственный взбесить разметка миллиметр дырка съезжать психануть решать отстирывать канва расчерчивать самый смываться несмотря инструкция стирка ладно равный отстирывать ваниш порошок угодно отходить
46,46,171,29/10/2021,Артикул 64,3,Бренд 25,Особо эффекта не заметила.,Елена,RU,,0,0,0,0,особо эффект замечать
47,47,172,29/10/2021,Артикул 161,3,Бренд 25,Обычная соль,Елена,RU,,0,0,0,0,обычный соль
48,48,177,29/10/2021,Артикул 131,5,Бренд 24,"Хорошая пряжа
Спасибо продавцу
Рекомендую",Оксана,RU,,0,0,0,0,хороший пряжа спасибо продавец рекомендовать
49,49,188,29/10/2021,Артикул 175,1,Бренд 14,Упаковка вскрыта. Один моток из двух украден.,Наталья,RU,синий,0,1,0,-1,упаковка вскрывать моток украсть
50,50,189,28/10/2021,Артикул 176,1,Бренд 14,Полнейшее безобразие!!! Заявлено 2 мотка. Я попросила заказ забрать дочь. Она привозит один моток!!!!!! Один!!!!!!! Бессовестные люди! Как Вам не стыдно! Продать за такие деньги один моток! Чтоб мои деньги стали Вам поперёк горла! Буду жаловаться на Вас во все организации! Мошенники!,Галина,RU,какао,0,0,0,0,полный безобразие !!! заявлять  моток попросить заказ забирать дочь привозить моток !!!!!! !!!!!!! бессовестный человек стыдно продавать деньги моток деньги становиться поперек горло жаловаться весь организация мошенник
51,51,192,28/10/2021,Артикул 179,5,Бренд 22,"Счастью нет предела! Рама очень хорошая, гладкая! И размер Оказался для меня самый ходовой! Спасибо за быструю доставку, всё на высшем уровне!",Светлана,RU,,0,0,0,0,счастие предел рама очень хороший гладкий размер оказываться самый ходовой спасибо быстрый доставка высокий уровень
52,52,195,28/10/2021,Артикул 182,5,Бренд 2,"Я всегда вышивала на ткани,а тут образ на картоне,сначала было не привычно,исколола себе пальцы,но а потом уже привыкла и чем дальше шила тем больше нравилось!",Софья,RU,белый,0,0,0,0,вышивать ткань образ картон сначала привычно искалывать палец привыкать далеко шить нравиться
53,53,197,28/10/2021,Артикул 184,3,Бренд 7,"Набор пришёл вскрытый. При осмотре вроде всё на месте, но впечатление подпорчено.",Ирина,RU,молочный,0,0,0,0,набор приходить вскрывать осмотр вроде место впечатление подпортить
54,54,204,28/10/2021,Артикул 190,1,Бренд 10,"Условие заказа 4мотка, пришёл один. Отказ. Очень жаль.",Елена,RU,,0,0,1,1,условие заказ мотка приходить отказ очень жаль
55,55,214,27/10/2021,Артикул 115,5,Бренд 24,"Использовала 3 мотка из пачки, все петельки ровные, не лысые. Цвет соответствует.",Кристина,KZ,,0,0,0,0,использовать  моток пачка весь петелька ровный лысый цвет соответствовать
56,56,222,26/10/2021,Артикул 206,5,Бренд 10,"Шерсть 100%, цвет красивый",Галина,KZ,,0,0,1,1,"шерсть  %,  цвет красивый"
57,57,226,26/10/2021,Артикул 131,5,Бренд 24,"Все отлично! Цвет пудра, по факту приглушённый розовый, тяжело передаётся на фото.",Екатерина,RU,,0,0,0,0,отлично цвет пудра факт приглушать розовый тяжело передаваться фото
58,58,231,26/10/2021,Артикул 214,5,Бренд 3,Отличная равномерка! Особенно порадовала цена - 762р.,Елена,RU,серо-бежевый,0,0,0,0,отличный равномерок особенно порадовать цена р
59,59,234,26/10/2021,Артикул 217,5,Бренд 22,"Отличный станок, отличные материалы. Девушке очень понравился.",Дмитрий,RU,,0,0,0,0,отличный станок отличный материал девушка очень понравиться
60,60,240,25/10/2021,Артикул 223,5,Бренд 2,Очень понравилось 😍🥰,Дарья,RU,белый,0,0,0,0,очень понравиться 😍 🥰
61,61,243,25/10/2021,Артикул 226,5,Бренд 10,Все отлично,Елена,RU,,0,0,0,0,отлично
62,62,247,25/10/2021,Артикул 230,5,Бренд 52,"Вкусная вещь, жаль, что маленькая упаковка, улетает очень быстро.",Денис-Ирина,RU,,0,0,0,0,вкусный вещь жаль маленький упаковка улетать очень быстро
63,63,249,25/10/2021,Артикул 231,5,Бренд 17,Здравствуйте.Брала этот набор.Вышивала месяца 2-3.Всё понравилось и получилось очень красиво.Единственное одного цвета не хватило и пришлось добирать.,Ольга,KZ,белый,0,0,0,0,здравствовать брать набор вышивать месяц   понравиться получаться очень красиво единственный цвет хватить приходиться добирать
64,64,253,25/10/2021,Артикул 234,5,Бренд 10,"Покупала 3 моточка на шапку. Пряжа очень мягкая, приятно вязать и моточки между собой можно соединить сухим валянием. Смотрится красиво, петли ложатся ровно. Знаю из нее вяжут ещё и красивые плечевые изделия. На шапку английской резинкой с большим отворотом и завышенной макушкой, у меня ушло чуть меньше 1,5 мотка.
Обязательно ещё куплю ❤️",Аурика,RU,бледно-голубой,0,0,1,1,"покупать  моточек шапка пряжа очень мягкий приятно вязать моточек соединять сухой валяние смотреться красиво петля ложиться ровно знать вязать красивый плечевой изделие шапка английский резинка большой отворот завышать макушка уходить мало   моток обязательно купить ❤ ️
"
65,65,254,25/10/2021,Артикул 235,3,Бренд 2,"Купила в начале года, сейчас до вышивки этого набора дошла очередь. К сожалению, работу пришлось приостановить - 5 цветов из набора совершенно не соответствуют ни сюжету, ни описанию этих же цветов в схеме (5А, 8Д, 10С, 10Д, 13Д). Направлена претензия производителю, надеюсь, что устранят свою ошибку и заменят. т.к. желания бегать по магазинам в поисках подбора нет.",Марина,RU,белый,0,0,0,0,купить начало год вышивка набор доходить очередь сожаление работа приходиться приостанавливать  цветок набор совершенно соответствовать сюжет описание цвет схема а д с д д направлять претензия производитель надеяться устранять свой ошибка заменять т желание бегать магазин поиск подбор
66,66,256,25/10/2021,Артикул 237,5,Бренд 24,Из этих ниток всегда получаются воздушные и комфортные изделия для детей!,Екатерина,RU,,0,0,0,0,нитка получаться воздушный комфортный изделие ребенок
67,67,257,24/10/2021,Артикул 238,5,Бренд 24,"Отличная пряжа! Без узелков, все как всегда в ней, полностью устраивает!",Марина,RU,,0,0,0,0,отличный пряжа узелок весь полностью устраивать
68,68,259,24/10/2021,Артикул 175,3,Бренд 14,"Добрый вечер, заказала несколько упаковок, синий и серый цвет в двух экземплярах,так вот  две упаковки в этих цветах пришли по одному мотку,Полное безобразие,вводите покупателя в заблуждение и теперь думай куда пристраивать эти два,рассчитывала на четыре моточка. Буду надеяться что пряжа появится ещё в продаже а ближайшее время. На вид пряжа хорошая. С уважением ваш покупатель",ольга,RU,синий,0,0,0,0,добрый вечер заказывать несколько упаковка синий серый цвет экземпляр упаковка цветок приходить моток полный безобразие вводить покупатель заблуждение думать пристраивать рассчитывать четыре моточек надеяться пряжа появляться продажа близкий время вид пряжа хороший уважение ваш покупатель
69,69,262,24/10/2021,Артикул 242,5,Бренд 2,Спасибо производителю!,Елена,RU,белый,0,0,0,0,спасибо производитель
70,70,263,24/10/2021,Артикул 115,5,Бренд 24,**********,Юлия,RU,,0,0,0,0,"**********
"
71,71,267,24/10/2021,Артикул 246,5,Бренд 8,"Классная, качественная картина. В комплекте есть все! Два размера бисера: обычный и микро. Микро выглядит в работе очень красиво!!! Купите сразу в запас иголки для микро бисера, так как она быстро изогнётся.",Анна,RU,белый,0,0,0,0,классный качественный картина комплект весь размер бисер обычный микро микро выглядеть работа очень красиво !!! купить сразу запас иголка микро бисер быстро изгибаться
72,72,268,24/10/2021,Артикул 247,5,Бренд 24,"Качество пряжи хорошее, уж заказывала два раза, только цвет другой. Возврат только потому, что цвет в реале не соответсвует цвету на фото",Александра,RU,,0,0,0,0,качество пряжа хороший заказывать цвет возврат цвет реал соответсвуета цвет фото
73,73,270,24/10/2021,Артикул 249,5,Бренд 10,Когда будет поступление пряжи ?,Лариса,RU,светло-серый,0,0,0,0,поступление пряжа
74,74,273,24/10/2021,Артикул 252,5,Бренд 17,"Вышивать легко и приятно, бисер однородный, схема яркая и прочная.",Валентина,RU,белый,0,0,0,0,вышивать легко приятный бисер однородный схема яркий прочный
75,75,278,23/10/2021,Артикул 26,5,Бренд 10,"Пряжа пришла быстро! Она потрясная!! Мягкая и лёгкая, как облачко!!!",Мария,RU,,0,0,1,1,пряжа приходить быстро потрясный !! мягкий легкий облачко !!!
76,76,280,23/10/2021,Артикул 257,5,Бренд 17,"Набор классный,всё как в описании. Не первый раз покупаю наборы для вышивки фирмы радуга бисера. Весь набор пришёл без брака. Единственное одна игла,можно было бы и побольше,так как ломаются иглы. Но это уже вопрос к производителю. Являюсь постоянной вышивальщицей этой фирмы. Качество напечатанного рисунка классное. Вышивать приятно. Брала со скидкой. Доставка соответствует срокам. Спасибо огромное.",Олеся,RU,белый,0,0,0,0,набор классный описание первый покупать набор вышивка фирма радуга бисер весь набор приходить брак единственный игла ломаться игла это вопрос производитель являться постоянный вышивальщица фирма качество напечатать рисунок классный вышивать приятно брать скидка доставка соответствовать срок спасибо огромный
77,77,283,23/10/2021,Артикул 31,5,Бренд 10,"Отказ, цвет молочный, не подошел.",Светлана,RU,,0,0,0,0,отказ цвет молочный подходить
78,78,284,23/10/2021,Артикул 260,5,Бренд 16,"Отличная пряжа, рекомендую.",Светлана,RU,белый,0,0,0,0,отличный пряжа рекомендовать
79,79,285,23/10/2021,Артикул 115,5,Бренд 24,Отличная пряжа!👍,Софья,RU,,0,0,0,0,отличный пряжа 👍
80,80,287,23/10/2021,Артикул 217,5,Бренд 22,"Я в восторге!!! Нет слов, все прекрасно, очень удобно!!!",Елена,RU,,0,0,0,0,восторг !!! слово прекрасно очень удобно !!!
81,81,293,23/10/2021,Артикул 64,5,Бренд 25,Добрый день. Масло пришло хорошо упакованное. Пользовалась только одни раз. После первого применения волосы стали на ощупь гуще и мягче. Буду использовать дальше. По истчении некоторого времени напишу ещё.,Ирина,RU,,0,0,0,0,добрый день масло приходить упаковывать пользоваться первый применение волос становиться ощупь густой мягкий использовать далеко истчение некоторый время написать
82,82,294,23/10/2021,Артикул 267,5,Бренд 16,Отличная пряжа. Буду заказывать ещё!,Оксана,RU,белый,0,0,0,0,отличный пряжа заказывать
83,83,295,23/10/2021,Артикул 268,5,Бренд 28,"Шерсть хорошая,не отбелка.Спасибо!",Марина,RU,белый,0,0,0,0,шерсть хороший отбелка спасибо
84,84,296,22/10/2021,Артикул 269,4,Бренд 11,"Тоже пришёл набор с отошедшим краем упаковки, пришлось в пункте все проверять досконально, чтоб все материалы были на месте, но вроде все норм. А набор просто восхитительный и цена самая низкая в интернете!",Кира,RU,,0,0,0,0,приходить набор отходить край упаковка приходиться пункт весь проверять досконально весь материал место вроде норма набор просто восхитительный цена самый низкий интернет
85,85,306,22/10/2021,Артикул 115,5,Бренд 24,Пряжа отличная,ольга,RU,,0,0,0,0,пряжа отличный
86,86,309,22/10/2021,Артикул 44,5,Бренд 22,"Станок - просто мечта! Давно искала именно такой, чтоб на него можно было закрепить лупу и лампу! Чтобы он был мобильный, чтобы я не была привязана к определённому месту в квартире! Качество исполнения - 10 баллов из 10! Со сборкой справилась самостоятельно! Доставка быстрая, упаковано все аккуратно! Ни одного нарекания! Спасибо производителям и WB!",Елена,RU,,0,0,0,0,станок просто мечта давно искать именно закреплять лупа лампа мобильный привязывать определенный место квартира качество исполнение  балл  сборка справляться самостоятельно доставка быстрый упаковывать аккуратно нарекание спасибо производитель wb
87,87,314,22/10/2021,Артикул 285,5,Бренд 22,"Очень хороший, станочек! У меня уже второй!",Оля,RU,,0,0,0,0,очень хороший станочек второй
88,88,315,22/10/2021,Артикул 286,5,Бренд 11,"Все как в описание, но канва мелкая",Вероника,RU,,0,0,0,0,описание канва мелкий
89,89,317,22/10/2021,Артикул 288,5,Бренд 22,"Быстрая доставка! Все детали целые, хорошо обработаны. Легки в сборке. Схема- инструкция прилагается. Рекомендую!",Ирина,RU,,0,0,0,0,быстрый доставка деталь целый обрабатывать легкий сборка схема инструкция прилагаться рекомендовать
90,90,319,22/10/2021,Артикул 44,5,Бренд 22,"Отличный станок! Быстрая доставка!Легко собрала сама. Инструкция -схема прилагается. Все целое, детали ,хорошо обработаны, гладенькие,идеально подогнаны друг дружке.  Качественный товар! Удобен в использовании. Рекомендую👍👍👍👍Соответствует фото на сайте",Ирина,RU,,0,0,0,0,отличный станок быстрый доставка легко собирать инструкция схема прилагаться весь целое деталь обрабатывать гладенький идеально подгонять друг дружка качественный товар удобный использование рекомендовать 👍 👍 👍 👍 соответствовать фото сайт
91,91,320,22/10/2021,Артикул 290,3,Бренд 6,"Из плюсов хорошая канва и сам образ. Из минусов, что и было написано от покупателей выше. Бисер мелкий, накидка по цвету уж очень яркая,но я была к этому готова, поэтому купила другие цвета из серии Гамма. Если понравился рисунок, берите, но будьте готовы, что бисер либо полностью заменить на качественный, либо по цветам подбирать.",Светлана,RU,белый,0,0,0,0,плюс хороший канва образ минус написать покупатель выше бисер мелкий накидка цвет очень яркий это готовый поэтому купить цвет серия гамма понравиться рисунок брать готовый бисер либо полностью заменять качественный либо цвет подбирать
